,Participant,Condition,Music,mQoM,aware_body,aware_movement,aware_others_moving,Motion_seen,Motion_seen_Max
42,ADQ043,Hall,Bach,0.07823780177671379,Rarely,Not aware of movement,Not aware of others' movement,0.09590918295857281,0.09590918295857281
43,ADQ044,Hall,Bach,0.06560233280020832,Intermittently,Yes and I moved less than usual,Not aware of others' movement,0.07330472731263332,0.09352894669655427
44,ADQ045,Hall,Bach,0.25070395118844313,Not at all,Not aware of movement,Yes and they moved a normal amount,0.08711574200606007,0.16008556496227652
45,ADQ046,Hall,Bach,0.06419645340968232,Intermittently,Yes and I moved a normal amount,Not aware of others' movement,0.06495943834397831,0.06495943834397831
46,ADQ047,Hall,Bach,0.08612651511734822,Rarely,Not aware of movement,Not aware of others' movement,0.09350670450794718,0.10379163973622857
47,ADQ048,Hall,Bach,0.0750163912287648,Intermittently,Yes and I moved a normal amount,Not aware of others' movement,0.057967895592982946,0.06593405052848593
48,ADQ049,Hall,Bach,0.17127886515480642,Intermittently,Yes and I moved more than usual,Yes and they moved a normal amount,0.07338435230705657,0.09942480631149365
49,ADQ050,Hall,Bach,0.0924374205112018,Rarely,Yes and I moved more than usual,Not aware of others' movement,0.069277680823833,0.069277680823833
50,ADQ051,Hall,Bach,0.04123690220795985,Rarely,Yes and I moved less than usual,Not aware of others' movement,0.11342146859271639,0.22769270897791405
51,ADQ052,Hall,Bach,0.09168997154889433,Not at all,Not aware of movement,Not aware of others' movement,0.11041186353676508,0.14914906115779664
52,ADQ053,Hall,Bach,0.08047490519938155,Rarely,Yes and I moved a normal amount,Not aware of others' movement,0.1260803765560781,0.22769270897791405
53,ADQ054,Hall,Bach,0.06849270626494598,Rarely,Yes and I moved a normal amount,Not aware of others' movement,0.06560233280020832,0.06560233280020832
54,ADQ055,Hall,Bach,0.09293118379175154,Rarely,Yes and I moved less than usual,Not aware of others' movement,0.06495943834397831,0.06495943834397831
55,ADQ056,Hall,Bach,0.06679990659737893,Rarely,Yes and I moved less than usual,Not aware of others' movement,0.09634395019874921,0.09634395019874921
56,ADQ057,Hall,Bach,0.09352894669655427,Continuously,Yes and I moved less than usual,Yes and they moved less than usual,0.06560233280020832,0.06560233280020832
57,ADQ058,Hall,Bach,0.11490860306584834,Rarely,Yes and I moved more than usual,Not aware of others' movement,0.042211727562372764,0.042211727562372764
58,ADQ059,Hall,Bach,0.08714735623300972,Intermittently,Yes and I moved a normal amount,Yes and they moved less than usual,0.11096630177705556,0.13522696704083245
59,ADQ060,Hall,Bach,0.11143894619072418,,,,0.07511660701680728,0.07511660701680728
60,ADQ061,Hall,Bach,0.07512540660726087,Not at all,Not aware of movement,Not aware of others' movement,0.08204841725001329,0.0968594624744415
61,ADQ062,Hall,Bach,0.05000174065747996,Continuously,Yes and I moved a normal amount,Not aware of others' movement,0.06992946228908258,0.0750163912287648
