TIME,LABEL,Set,Movement,Moment,Since,Type,end,Sequence,Rest,Gap,Connect,Elide,Phr_end,Phr_begining,Rubato,Rit,Fermata,Precision,Cresc,Fp,Diminuendo,TextDec,Drone,TextInc,revisedT,old_TIME,old_Ratio,Ratio,SoundAmp_pre,SoundAmp_post,SoundAmp_shift,OnsetRate_pre,OnsetRate_post,OnsetRate_shift,QoMmean_pre,QoMmean_post,QoMmean_shift,QoMmedian_pre,QoMmedian_post,QoMmedian_shift
1565.31,New Point,1,4,109,3.37,0,0.0,0.0,0,1,0,0,1.0,0.0,1,0,0,1,0,0,1,0,0,0,0,1565.31,0.4869565217,0.5411764705882353,0.029660364995750366,0.012313888655230715,-0.01734647634051965,0.13200000000000003,0.0,-0.13200000000000003,0.08595081596730891,0.07996812692164623,-0.005982689045662681,0.06978557612604024,0.06537582644728378,-0.004409749678756458
1572.11,New Point,1,4,110,6.79,0,0.0,0.0,0,1,0,0,1.0,0.0,1,0,0,1,0,0,1,0,0,0,0,1572.11,0.4608695652,0.49411764705882355,0.074445145057352,0.012063217475156946,-0.06238192758219506,0.17600000000000002,0.0,-0.17600000000000002,0.07164881585040593,0.08043218681719841,0.008783370966792478,0.05974853596000399,0.05948076570653745,-0.00026777025346653993
1583.58,New Point,1,4,111,11.47,0,0.0,0.0,1,1,0,0,1.0,0.0,1,0,1,1,0,0,1,0,0,0,0,1583.58,0.5913043478,0.4823529411764706,0.009061024001406067,0.003143523798304477,-0.00591750020310159,0.13599999999999998,0.0,-0.13599999999999998,0.06902535930455393,0.07453700968065236,0.005511650376098423,0.05819253767632304,0.056122230761597246,-0.002070306914725796
1608.51,e,1,4,112,24.93,0,2.0,0.0,1,1,0,0,1.0,0.0,1,0,1,1,1,0,0,0,0,0,0,1608.51,0.3739130435,0.47058823529411764,0.1288234148653063,0.009308397996583272,-0.11951501686872303,0.6639999999999999,0.0,-0.6639999999999999,0.10989040189851103,0.11694634101027519,0.0070559391117641646,0.07669372378002404,0.07576121874718683,-0.0009325050328372053
2061.36,New Point,2,1,113,452.85,Low_Rest,0.0,0.0,1,1,0,0,1.0,0.0,1,0,0,1,0,0,1,0,0,0,0,2061.36,0.4434782609,0.5058823529411764,0.027854245251183414,0.009351630249755731,-0.018502615001427684,0.096,0.0,-0.096,0.1818039564279536,0.13754552752532131,-0.04425842890263229,0.08146058705489276,0.07669169703816031,-0.004768890016732447
2069.71,New Point,2,1,114,8.35,Low_Rest,0.0,0.0,1,1,0,0,1.0,0.0,1,0,0,1,0,0,1,0,0,0,0,2069.71,0.4086956522,0.4588235294117647,0.036322130255186054,0.00813884072466728,-0.028183289530518775,0.16,0.0,-0.16,0.10107780894955982,0.09564522927002284,-0.005432579679536989,0.06948964187384013,0.06675179856997952,-0.002737843303860607
2086.53,New Point,2,1,115,16.83,Low_Rest,0.0,0.0,1,1,0,0,1.0,0.0,0,0,0,1,1,0,0,0,0,0,0,2086.53,0.5565217391,0.5294117647058824,0.054825462493116914,0.005784021182890899,-0.04904144131022602,0.33999999999999997,0.0,-0.33999999999999997,0.09837280909099766,0.09317652973282241,-0.0051962793581752514,0.06891670565657784,0.06508151154473066,-0.0038351941118471844
2091.04,New Point,2,1,116,4.51,"interupted line, just a quick stall, already quiet",0.0,0.0,0,1,0,0,-0.5,0.0,1,0,0,1,1,1,0,0,0,0,0,2091.04,0.3565217391,0.3176470588235294,0.022515722178699533,0.010314359496115897,-0.012201362682583636,0.256,0.156,-0.1,0.08374435923140797,0.0945840131895976,0.01083965395818963,0.06305030962765451,0.07107984135199272,0.008029531724338207
2109.893333,New Point,2,1,117,18.64,Low_Rest,0.0,0.0,0,1,0,0,1.0,0.0,1,0,0,1,1,0,0,0,0,0,1,2109.68,0.4173913043,0.4235294117647059,0.05311783252876477,0.07838367798731719,0.025265845458552413,0.188,0.044,-0.14400000000000002,0.08715264296485367,0.08838813364671808,0.001235490681864404,0.06268709562487318,0.06790035954673246,0.005213263921859279
2116.85,New Point,2,1,118,7.17,Low_Rest,0.0,0.0,0,1,0,0,1.0,0.0,1,0,0,1,1,0,0,0,0,0,0,2116.85,0.452173913,0.49411764705882355,0.06519348504421066,0.13646228496863727,0.07126879992442661,0.2760000000000001,0.4840000000000001,0.20800000000000002,0.12059197006938253,0.0833722683804283,-0.037219701688954235,0.06545183600325252,0.068717519908357,0.003265683905104483
