TIME,LABEL,Set,Movement,cues,Type,Gap,Rest,Connect,Voices_dec,Note_rate_dec,Drone,TextInc,Phr_end,Phr_begining,Elide,Sequence,Rubato,Rit,Fermata,Tempo_inc,Diminuendo,Fp/Fz,Cresc,Precision,end,OLDTIME,SoundAmp_pre,SoundAmp_post,SoundAmp_shift,OnsetRate_pre,OnsetRate_post,OnsetRate_shift,QoMmean_pre,QoMmean_post,QoMmean_shift,QoMmedian_pre,QoMmedian_post,QoMmedian_shift
2501.43,83.99,2,2,2.0,Breath,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,2501.2,0.033374207989215546,0.008702844404502561,-0.024671363584712985,0.128,0.2,0.07200000000000001,0.07561588633765827,0.06829711991800565,-0.0073187664196526225,0.056477443996227304,0.05984415449506151,0.003366710498834205
2509.81,91.0,2,2,1.0,pause,0.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2509.71,0.15529062760059162,0.024301684006323987,-0.13098894359426763,0.26,0.044000000000000004,-0.216,0.08661522666753421,0.07902971469910494,-0.0075855119684292704,0.057386899068518946,0.06143679706255486,0.004049897994035913
2515.12,95.0,2,2,1.0,pause,0.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2514.88,0.04545197949809711,0.017627744255255026,-0.027824235242842082,0.152,0.24400000000000005,0.09200000000000005,0.08906536839715919,0.0758665599481571,-0.013198808449002092,0.06920456285685764,0.06217240398452291,-0.007032158872334729
2520.35,99.0,2,2,1.0,pause,0.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2520.35,0.08627101849817798,0.013090966502481996,-0.07318005199569598,0.128,0.152,0.023999999999999994,0.0802701941740144,0.07469805887245624,-0.005572135301558159,0.06505026047129028,0.059970612533230196,-0.005079647938060088
2528.27,106.5,2,2,0.0,rally,0.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2528.27,0.12593292252689547,0.05466891773824835,-0.07126400478864713,0.36,0.16399999999999998,-0.196,0.08761428675091956,0.07451660709681876,-0.013097679654100802,0.06910760942083076,0.06320817360266792,-0.005899435818162838
2545.43,124.33,2,2,1.0,drop,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2545.28,0.29465778004565957,0.053430577237031686,-0.2412272028086279,0.364,0.25600000000000006,-0.10799999999999993,0.0743052060406925,0.08130632341149414,0.0070011173708016405,0.06511471972027351,0.06246566888462831,-0.002649050835645199
2557.13,135.33,2,2,1.0,drop,0.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2556.67,0.1158511675414294,0.010317758246356555,-0.10553340929507285,0.196,0.0,-0.196,0.08738910232681107,0.08602294193587638,-0.0013661603909346925,0.05804209578384382,0.060803166408151935,0.0027610706243081165
2590.96,167.0,2,2,1.0,retreat,0.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2590.96,0.060134897519659836,0.02098540026580694,-0.039149497253852895,0.2,0.048,-0.15200000000000002,0.07805808025128128,0.07155795089148383,-0.006500129359797449,0.06586167609778773,0.06317454806318046,-0.0026871280346072723
2610.51,185.0,2,2,0.0,retreat,0.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2611.33,0.08989407512496257,0.01612183325249348,-0.07377224187246909,0.252,0.004,-0.248,0.07648072218756889,0.07681495083671247,0.0003342286491435781,0.06674525872672368,0.06393165222083566,-0.002813606505888022
2667.44,244.0,2,2,1.0,drop,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2667.44,0.21462965997791578,0.028720586303632112,-0.18590907367428366,0.348,0.092,-0.256,0.08445600388711935,0.0926712828524513,0.008215278965331946,0.06836110966460686,0.07398510873488524,0.005623999070278385
2677.1,252.49,2,2,0.0,breath,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,2677.1,0.12323159996462481,0.0156985957606538,-0.10753300420397101,0.6639999999999999,0.08,-0.584,0.08931205436779285,0.09227880688281927,0.0029667525150264135,0.0748274326949015,0.06916327195670569,-0.0056641607381958115
2710.33,288.5,2,2,1.0,Halt,0.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,2710.16,0.14501162747506355,0.06912579252731538,-0.07588583494774817,0.41600000000000004,0.188,-0.22800000000000004,0.1160461606313623,0.08502776508092107,-0.03101839555044124,0.08296161464169782,0.06938541356478817,-0.013576201076909655
2740.27,320.0,2,2,0.0,Duck,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,2740.27,0.14769701269844412,0.043948974513945686,-0.10374803818449843,0.316,0.188,-0.128,0.08845256634567814,0.08848842023615637,3.585389047823517e-05,0.07216525837173622,0.07423327299720253,0.0020680146254663107
2747.13,326.99,2,2,1.0,end,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,2747.47,0.15915711750574116,0.010493514000320487,-0.14866360350542068,0.548,0.0,-0.548,0.08808899102102752,0.07934357593984451,-0.008745415081183011,0.06924278229370852,0.06133517920486853,-0.00790760308883999
2764.69,2.74,2,3,2.0,Breath,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2764.37,0.12874816749292814,0.0797613974496914,-0.04898677004323673,0.192,0.376,0.184,0.08556538024429373,0.07862438603171487,-0.006940994212578863,0.06518568295969661,0.06332332762435414,-0.001862355335342472
2823.45,14.0,2,3,1.0,drop,0.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,2823.45,0.02764605574630899,0.012540728501511259,-0.01510532724479773,0.23600000000000004,0.152,-0.08400000000000005,0.08408856037609701,0.0676149194636355,-0.016473640912461507,0.06264654462683879,0.054097898905245745,-0.008548645721593043
2834.4,16.0,2,3,1.0,pause,0.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2834.4,0.023523985459902006,0.009759334542098323,-0.013764650917803684,0.2618181818181819,0.08363636363636365,-0.17818181818181825,0.07744172509114296,0.06992736482632848,-0.007514360264814474,0.06224374713154817,0.057108690520341204,-0.005135056611206966
2842.97,17.6,2,3,1.0,pause,0.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2842.67,0.03173971550716736,0.008523637997292045,-0.023216077509875314,0.16,0.11600000000000002,-0.043999999999999984,0.08693224407184541,0.07421982473807454,-0.012712419333770875,0.06152049034452685,0.05953013164772978,-0.001990358696797069
2911.43,30.37,2,3,2.0,Breath,1.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,2910.64,0.01436162850407823,0.0034519321975795317,-0.010909696306498698,0.039999999999999994,0.036,-0.003999999999999997,0.06907112456995117,0.07404123124582422,0.004970106675873054,0.06427663241930104,0.054323360133562884,-0.009953272285738154
2918.88,31.5,2,3,2.0,pause,1.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2918.88,0.019231911987870453,0.004661912799902902,-0.014569999187967551,0.268,0.0,-0.268,0.08444007476417625,0.09668526902363989,0.012245194259463632,0.06296380521399933,0.0689900622757448,0.006026257061745477
2942.85,36.99,2,3,2.0,breath,1.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,2941.84,0.05354449752578801,0.022135152011357986,-0.03140934551443002,0.024,0.05600000000000001,0.03200000000000001,0.06906037948377988,0.0866668136864245,0.017606434202644614,0.05538989061313504,0.06464049971910166,0.009250609105966617
